flow_id,target_bw_mbps,scheduled_flow_start_s,interval_index,absolute_time_s,interval_start_s,interval_end_s,bytes_transferred,bits_per_second,mbps_achieved,retransmits,snd_cwnd_bytes,pmtu,rtt_us,rttvar_us,omitted,cpu_utilization_local_pct,cpu_utilization_remote_pct,congestion_algorithm,max_snd_cwnd_bytes
2,1.04,16.49,17,33.99,17.0,18.0,131072,1048374,1.0484,5,8688,1500,125158,8592,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,18,34.07,18.0,19.0,0,0,0.0,3,4344,1500,128386,12292,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,30,34.08,30.0,31.0,0,0,0.0,5,2896,1500,124564,8181,False,1.2438982381658117,0.0596033946610822,reno,14480.0
2,1.04,16.49,18,34.99,18.0,19.0,0,0,0.0,2,4344,1500,138953,30295,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,19,35.07,19.0,20.0,131072,1048579,1.0486,1,5792,1500,124291,3781,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,31,35.08,31.0,32.0,0,0,0.0,3,8688,1500,121367,1508,False,1.2438982381658117,0.0596033946610822,reno,14480.0
2,1.04,16.49,19,35.99,19.0,20.0,131072,1048523,1.0485,2,8688,1500,123374,4690,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,20,36.07,20.0,21.0,0,0,0.0,0,10136,1500,128144,13064,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,32,36.08,32.0,33.0,0,0,0.0,3,1448,1500,131223,16723,False,1.2438982381658117,0.0596033946610822,reno,14480.0
2,1.04,16.49,20,36.99,20.0,21.0,0,0,0.0,4,4344,1500,131233,18396,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,21,37.07,21.0,22.0,131072,1048583,1.0486,1,10136,1500,137031,23141,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,33,37.08,33.0,34.0,0,0,0.0,3,5792,1500,124282,6426,False,1.2438982381658117,0.0596033946610822,reno,14480.0
2,1.04,16.49,21,37.99,21.0,22.0,0,0,0.0,1,8688,1500,135496,23919,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,22,38.07,22.0,23.0,0,0,0.0,4,5792,1500,129806,15916,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,34,38.08,34.0,35.0,131072,1048594,1.0486,2,8688,1500,132666,19547,False,1.2438982381658117,0.0596033946610822,reno,14480.0
2,1.04,16.49,22,38.99,22.0,23.0,0,0,0.0,5,2896,1500,133660,23270,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,23,39.07,23.0,24.0,0,0,0.0,2,5792,1500,132780,18789,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,35,39.08,35.0,36.0,0,0,0.0,2,11584,1500,124357,7841,False,1.2438982381658117,0.0596033946610822,reno,14480.0
2,1.04,16.49,23,39.99,23.0,24.0,131072,1048595,1.0486,3,5792,1500,128443,13445,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,24,40.07,24.0,25.0,0,0,0.0,4,4344,1500,124513,8009,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,36,40.08,36.0,37.0,131072,1048628,1.0486,6,5792,1500,125510,9653,False,1.2438982381658117,0.0596033946610822,reno,14480.0
2,1.04,16.49,24,40.99,24.0,25.0,0,0,0.0,2,2896,1500,148931,46007,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,25,41.07,25.0,26.0,0,0,0.0,3,4344,1500,125818,10419,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,37,41.08,37.0,38.0,0,0,0.0,4,2896,1500,124831,8932,False,1.2438982381658117,0.0596033946610822,reno,14480.0
2,1.04,16.49,25,41.99,25.0,26.0,0,0,0.0,2,2896,1500,173239,100681,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,26,42.07,26.0,27.0,131072,1048554,1.0486,3,5792,1500,132875,21014,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,38,42.08,38.0,39.0,0,0,0.0,2,4344,1500,123912,6700,False,1.2438982381658117,0.0596033946610822,reno,14480.0
2,1.04,16.49,26,42.99,26.0,27.0,0,0,0.0,2,2896,1500,216564,179922,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,27,43.07,27.0,28.0,0,0,0.0,2,7240,1500,124089,5252,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,39,43.08,39.0,40.0,0,0,0.0,3,2896,1500,126552,11731,False,1.2438982381658117,0.0596033946610822,reno,14480.0
2,1.04,16.49,27,43.99,27.0,28.0,0,0,0.0,0,2896,1500,204515,159040,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,28,44.07,28.0,29.0,0,0,0.0,1,10136,1500,130921,17690,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,40,44.08,40.0,41.0,0,0,0.0,2,5792,1500,125640,10432,False,1.2438982381658117,0.0596033946610822,reno,14480.0
2,1.04,16.49,28,44.99,28.0,29.0,0,0,0.0,3,4344,1500,163375,84306,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,29,45.07,29.0,30.0,0,0,0.0,4,1448,1500,135872,25856,False,1.079560532299393,0.0385070948867097,reno,11584.0
