time_bin,iperf_retransmits_sum,iperf_rtt_us_mean,iperf_rtt_us_max,iperf_rttvar_us_mean,iperf_cwnd_bytes_mean,iperf_mbps_sum,iperf_achieved_ratio_mean,iperf_achieved_ratio_min,iperf_active_flows,iperf_bytes_sum,iperf_target_bw_sum,ping_rtt_ms_mean,ping_rtt_ms_max,ping_rtt_ms_std,ping_count,qdisc_backlog_pkt_max,qdisc_backlog_bytes_max,qdisc_drop_ratio_max,qdisc_dropped_delta_sum,qdisc_overlimit_delta_sum,qdisc_overlimit_rate_sum,qdisc_throughput_mbps_sum,qdisc_util_pct_max,qdisc_sent_pkt_delta_sum,host_rtt_ms_mean,host_minrtt_ms_min,host_cwnd_segs_mean,host_cwnd_segs_min,host_retrans_delta_sum,host_lost_delta_sum,host_delivery_mbps,host_socket_count,rtt_relative_iperf,rtt_relative_ping,retransmit_rate,queue_fill_ratio,host_delivery_ratio,iperf_achieved_ratio_capped,hf_A_retx_iperf,hf_A_retx_host,hf_A_lost_host,hf_A_loss,hf_B_rtt_iperf,hf_B_rtt_ping,hf_B_rttvar,hf_B_latency,hf_C_bw_iperf,hf_C_delivery_ss,hf_C_throughput,is_observable,congestion_state,congestion_binary,congestion_label
38,0.0,132953.08000000002,133019.3,15789.820000000002,336000.0,25.3366,0.3957141010991343,0.3755,5.0,3167071.0,63.99,132.57000000000002,132.93,0.49152822909780336,3,27,41854,0.0,0,244,253.168,52.514700000000005,105.33,4216,132.82,120.286,224.0,222.0,0.0,0.0,23.8243,5.0,1.1104709682673255,1.107271349134592,0.0,0.9,0.952972,1.013464,0,0,0,0,1,1,1,1,0,0,1,1,1,1,onset
39,0.0,134079.56,134182.6,13352.0,360000.0,25.1508,0.392633969083714,0.38522691705790296,5.0,3143853.0,63.99,133.92999999999998,136.13,1.924292077622322,3,28,42955,0.0,0,340,343.981,50.590599999999995,102.72,4166,133.894,119.946,240.0,237.0,0.0,0.0,25.4181,5.0,1.1198797261263669,1.11863054831105,0.0,0.9333333333333333,1.016724,1.006032,0,0,0,0,1,1,1,1,0,0,1,1,1,1,onset
40,14.0,134318.47999999998,134574.8,10827.119999999999,114000.0,8.8321,0.1375183447464908,0.13107981220657278,5.0,1104003.0,63.99,132.86,134.07,1.8917452259751957,3,29,44579,0.028683,44,282,274.795,17.4334,36.6,1490,134.42,120.19,76.0,75.0,14.0,9.0,8.3253,5.0,1.1218752701463957,1.109693531311925,0.009395973154362415,0.9666666666666667,0.33301200000000003,0.35328400000000004,1,1,1,1,1,1,1,1,1,1,1,1,2,1,congested
41,0.0,130736.98000000001,130870.8,1375.06,369000.0,25.0271,0.3911945083595652,0.38070833333333337,5.0,3128389.0,63.99,131.51666666666665,133.39,1.631236749626902,3,24,36751,0.0,0,282,291.009,51.747,104.75,4178,130.767,120.273,246.0,243.0,0.0,0.0,23.2645,5.0,1.0919613202563339,1.0984735380077273,0.0,0.8,0.9305800000000001,1.001084,0,0,0,0,0,1,0,1,0,0,0,1,0,0,normal
42,0.0,133121.63999999998,133273.7,9091.32,412500.0,24.8097,0.3874869140850118,0.3763153846153846,5.0,3101217.0,63.99,133.28,133.72,0.46130250378682447,3,23,35774,0.0,0,320,316.361,49.319900000000004,99.78,4156,133.194,119.997,275.0,274.0,0.0,0.0,23.1113,5.0,1.1118788407770193,1.11320151929289,0.0,0.7666666666666667,0.924452,0.9923879999999999,0,0,0,0,1,1,1,1,0,0,1,1,1,1,onset
43,0.0,132305.91999999998,132537.1,8527.98,388500.0,25.2154,0.39426561862693965,0.38326666666666664,5.0,3151918.0,63.99,132.77333333333334,133.16,0.417891532976354,3,23,35036,0.0,0,302,300.073,49.6589,102.24,4164,132.198,119.775,259.0,258.0,0.0,0.0,25.4879,5.0,1.1050656599297983,1.1089696607761703,0.0,0.7666666666666667,1.019516,1.008616,0,0,0,0,1,1,1,1,0,0,1,1,1,1,onset
44,0.0,133180.72,133339.6,3180.5800000000004,367500.0,24.790499999999998,0.3877198679876939,0.3816133333333333,5.0,3098802.0,63.99,133.13,134.63,1.299038105676658,3,29,43710,0.0,0,304,317.711,52.478899999999996,106.39,4184,133.256,119.945,245.0,243.0,0.0,0.0,23.8366,5.0,1.1123722977530084,1.1119486664425453,0.0,0.9666666666666667,0.953464,0.99162,0,0,0,0,1,1,0,1,0,0,0,1,0,0,normal
45,0.0,132881.56,133040.1,18349.1,277500.0,22.5318,0.35186649886444016,0.3426692307692308,5.0,2816476.0,63.99,133.87,136.2,2.018588615840292,3,29,44941,0.001076,4,278,280.494,44.9469,92.94,3712,132.927,120.196,185.0,184.0,2.0,1.0,20.6032,5.0,1.109873608028281,1.1181294071709122,0.0,0.9666666666666667,0.8241280000000001,0.9012720000000001,0,1,1,1,1,1,1,1,0,0,1,1,2,1,congested
46,0.0,133236.56,133512.4,26317.76,367500.0,25.2006,0.3938878211615431,0.38003129890453835,5.0,3150094.0,63.99,132.79333333333332,134.33,1.3308769038996007,3,25,38984,0.0,0,272,281.666,51.807500000000005,106.19,4168,133.17,120.077,245.0,243.0,0.0,0.0,25.1364,5.0,1.11283869310743,1.1091367078228827,0.0,0.8333333333333334,1.005456,1.008024,0,0,0,0,1,1,1,1,0,0,1,1,1,1,onset
47,0.0,134159.56,134347.3,1239.84,322500.0,24.6589,0.38513525945370064,0.3778403755868545,5.0,3082369.0,63.99,133.28,134.1,0.7112664760833249,3,28,42229,0.0,0,258,258.938,50.1459,100.37,4162,134.347,119.903,215.0,214.0,0.0,0.0,22.9423,5.0,1.1205479143132173,1.11320151929289,0.0,0.9333333333333333,0.917692,0.986356,0,0,0,0,1,1,0,1,0,0,0,1,0,0,normal
